"","L1-1","L1-2","L1-3","L1-4","L1-5","L2-1","L2-2","L2-3","L2-4","L2-5"
"Ala-Ala"," 1.8723032"," 0.9807303","-0.6975247","-0.8548611","-0.9073066"," 0.6660575"," 0.1416028"," 0.6136120","-0.9597521","-0.8548611"
"Ala","-0.05000073"," 1.56540749"," 0.99488633"," 1.16796578"," 0.07179592","-0.10769388","-1.31283969","-0.15256633","-1.26155689","-0.91539799"
"ADP-ribose"," 1.4857649"," 1.1771491"," 0.1190375","-0.4430842"," 1.2873690","-0.2557103","-0.5973921","-0.3218423","-1.1595139","-1.2917778"
"ADP-glucose ; GDP-fucose"," 2.48831078","-0.55860038","-0.05078185"," 0.45703667","-0.05078185"," 0.45703667","-0.55860038","-0.55860038","-1.06641891","-0.55860038"
"ADP","-0.6504742","-0.4391981"," 0.7004121"," 0.1690208"," 2.4418390","-0.4648073","-1.0026009","-0.4071866"," 0.3034692","-0.6504742"
"ADMA","-1.3822179"," 0.6282809"," 0.1256562","-0.3769685","-0.8795932"," 0.8795932","-0.3769685"," 2.1361549","-0.3769685","-0.3769685"
"Adipic acid","-0.8556379","-0.8158407","-0.8556379","-0.8556379","-1.1740147"," 0.2984783"," 1.3332032"," 1.0148263"," 1.0944205"," 0.8158407"
"Adenylosuccinic acid","-1.3176835","-0.8036935"," 1.3924457"," 1.3924457","-0.4298826"," 0.2242865","-0.9205094"," 0.6915502","-0.8737830"," 0.6448238"
"Adenosine","-1.41152929","-1.19206074","-0.31418655","-1.03034708","-0.01386117"," 0.49438178"," 0.66764642"," 0.07854664"," 1.24519523"," 1.47621476"
"Adenine","-1.56839212","-1.13869565","-0.81642329","-0.27930271"," 0.04296965"," 0.31152994"," 0.09668171"," 0.47266612"," 1.54690729"," 1.33205906"
"Acetyl CoA_divalent","-0.1003622","-0.4139941"," 0.2132697"," 1.6246131"," 1.9382450","-0.8530787","-0.8530787","-0.7276260","-0.2571781","-0.5708100"
"Acetoacetamide"," 0.406626947"," 1.651403315"," 1.236477859"," 0.821552403","-0.008298509","-1.087104695","-0.423223965","-1.087104695","-1.087104695","-0.423223965"
"7,8-Dihydrobiopterin","-1.4491377","-0.9315885","-0.4140393","-0.9315885","-0.4140393"," 0.1035098"," 0.6210590"," 1.1386082"," 0.6210590"," 1.6561573"
"6-Phosphogluconic acid"," 0.3649589"," 0.3649589"," 1.1153418"," 1.5246415"," 0.9448002","-0.8970486","-1.0334818","-0.2148824","-1.0675901","-1.1016985"
"6-Hydroxyhexanoic acid"," 1.463644","-0.225176"," 1.463644"," 0.900704","-0.788116"," 0.337764","-1.351056","-0.788116","-0.788116","-0.225176"
"6-Aminohexanoic acid","-1.47666412"," 0.85491080"," 0.07771916"," 0.07771916"," 0.07771916"," 1.63210244","-0.69947248","-1.47666412"," 0.07771916"," 0.85491080"
"5-Oxoproline","-0.55407468","-0.33987055","-0.59691550","-1.13956596","-1.12528569"," 1.04531615"," 2.08777624"," 0.27418128"," 0.35986294","-0.01142422"
"5-Oxohexanoic acid"," 2.8460499","-0.3162278","-0.3162278","-0.3162278","-0.3162278","-0.3162278","-0.3162278","-0.3162278","-0.3162278","-0.3162278"
"5-Oxo-2-tetrahydrofurancarboxylic acid","-0.7308576"," 1.7990340"," 1.0962863"," 1.0962863","-0.7308576"," 0.3935387","-0.7308576","-0.7308576","-0.7308576","-0.7308576"
"5-Methyltetrahydrofolic acid"," 0.82576451"," 0.82576451","-0.01685234","-1.36503930","-1.36503930"," 0.82576451"," 0.82576451","-0.01685234","-1.36503930"," 0.82576451"
"5-Methoxyindoleacetic acid","-0.4743416"," 1.8973666"," 1.8973666","-0.4743416","-0.4743416","-0.4743416","-0.4743416","-0.4743416","-0.4743416","-0.4743416"
"5'-Deoxy-5'-methylthioadenosine"," 0.04164257","-1.41584755","-0.99942180"," 0.24985545"," 1.08270695","-0.99942180"," 0.66628120"," 1.49913270"," 0.66628120","-0.79120892"
"5-Aminovaleric acid"," 0.7094188"," 1.8012267"," 1.0015928"," 0.7863067","-0.1517254","-0.4900321","-0.9821145","-0.8385905","-1.0026179","-0.8334646"
